Oceanus Procellarum	p	20.67	-56.68	2592.2
Mare Frigoris	p	57.59	-0.01	1446.4
Mare Imbrium	p	34.72	-14.91	1145.5
Mare Tranquillitatis	p	8.35	30.83	875.7
Mare Fecunditatis	p	-7.83	53.67	840.4
Mare Nubium	p	-20.59	-17.29	714.5
Mare Serenitatis	p	27.29	18.36	674.3
Vallis Snellius	o	-30.93	57.84	640.0
Montes Apenninus	o	19.87	0.03	599.7
Mare Crisium	p	16.18	59.10	555.9
Rupes Altai	o	-24.32	23.12	545.2
Mare Insularum	p	7.79	-30.64	511.9
Vallis Rheita	o	-42.51	51.65	509.1
Montes Caucasus	o	37.52	9.93	443.5
Lacus Somniorum	p	37.56	30.80	424.8
Montes Jura	o	47.49	-36.11	420.8
Mare Humorum	p	-24.48	-38.57	419.7
Rimae Sirsalis	o	-15.01	-61.36	405.0
Montes Haemus	o	17.11	12.03	384.7
Lacus Veris	p	-16.48	-85.91	382.9
Mare Smythii	p	-1.71	87.05	374.0
Dorsum Buckland	o	19.43	14.30	369.1
Mare Marginis	p	12.70	86.52	357.6
Mare Cognitum	p	-10.53	-22.31	350.0
Mare Nectaris	p	-15.19	34.60	339.4
Montes Alpes	o	48.36	-0.58	334.5
Montes Carpatus	o	14.57	-23.62	333.6
Rima Brayley	o	22.30	-36.35	327.3
Sinus Aestuum	p	12.10	-8.34	316.5
Bailly	c	-66.82	-68.90	300.6
Palus Epidemiarum	p	-32.00	-27.54	300.4
Dorsum Oppel	o	19.31	52.09	297.6
Vallis Bouvard	o	-38.45	-82.32	287.9
Sinus Medii	p	1.63	1.03	286.7
Rima Marius	o	16.37	-49.54	283.5
Rima Sharp	o	46.02	-50.36	276.7
Rimae Hippalus	o	-25.60	-29.36	266.0
Dorsa Ewing	o	-11.06	-38.31	261.6
Rimae Hase	o	-34.71	67.78	257.2
Rima Hesiodus	o	-30.54	-21.85	251.5
Montes Pyrenaeus	o	-14.05	41.51	251.3
Rimae Kopff	o	-14.68	-88.10	250.0
Rimae Riccioli	o	-1.52	-73.07	250.0
Sinus Iridum	p	45.01	-31.67	249.3
Rima Ariadaeus	o	6.48	13.44	247.4
Mare Undarum	p	7.49	68.66	244.8
Rima Draper	o	17.37	-25.37	244.2
Mare Vaporum	p	13.20	4.09	242.5
Rimae Mersenius	o	-20.69	-46.53	240.0
Grimaldi	c	-5.38	-68.36	235.0
Rimae Bode	o	9.54	-3.22	233.0
Mare Humboldtianum	p	56.92	81.54	230.8
Clavius	c	-58.62	-14.73	230.8
Deslandres	c	-32.55	-5.57	227.0
Rimae Gutenberg	o	-4.42	36.42	223.0
Rima Cardanus	o	11.32	-71.14	221.9
Dorsa Smirnov	o	26.41	25.53	221.8
Sinus Asperitatis	p	-5.41	27.49	219.1
Dorsa Geikie	o	-4.21	52.83	218.4
Rimae Archimedes	o	26.34	-4.53	215.0
Dorsa Harker	o	13.79	63.65	213.1
Schickard	c	-44.38	-55.11	212.2
Rimae Parry	o	-8.07	-16.52	210.0
Catena Abulfeda	o	-16.59	16.70	210.0
Vallis Baade	o	-45.55	-77.23	206.8
Lacus Temporis	p	46.77	56.21	205.3
Rima Hyginus	o	7.62	6.77	204.0
Rima Diophantus	o	28.70	-33.67	201.5
Janssen	c	-44.96	40.82	200.7
Rimae Hypatia	o	-0.34	22.78	200.0
Rimae Triesnecker	o	5.10	4.83	200.0
Humboldt	c	-27.02	80.96	199.5
Lacus Excellentiae	p	-35.65	-43.58	197.7
Lacus Autumni	p	-11.82	-83.17	195.6
Dorsum Zirkel	o	29.55	-24.82	195.2
Sinus Roris	p	50.26	-50.86	195.0
Dorsa Burnet	o	26.18	-56.78	195.0
Montes Riphaeus	o	-7.48	-27.60	190.1
Rimae Goclenius	o	-7.84	42.88	190.0
Sinus Amoris	p	19.92	37.29	189.1
Dorsa Tetyaev	o	20.03	64.06	187.5
Rima Galilaei	o	12.91	-59.20	185.9
Vallis Schröteri	o	26.16	-51.58	185.3
Petavius	c	-25.39	60.78	184.1
Dorsum Von Cotta	o	23.60	11.95	183.1
Einstein	c	16.60	-88.65	181.5
Palus Putredinis	p	27.36	0.00	180.5
Dorsa Lister	o	19.76	23.52	180.1
Rimae Hevelius	o	0.81	-66.38	180.0
Rimae Herigonius	o	-13.92	-36.75	180.0
Rimae Plato	o	50.88	-3.02	180.0
Schiller	c	-51.72	-39.78	179.4
Rimae Aristarchus	o	27.52	-47.25	175.0
Gauss	c	36.01	79.08	170.7
W. Bond	c	65.41	3.52	170.5
Rimae Darwin	o	-19.84	-66.66	170.0
Rupes Cauchy	o	9.31	37.08	169.8
Rima Cauchy	o	10.42	38.07	167.0
Rima G. Bond	o	32.86	35.25	166.8
Montes Taurus	o	27.32	40.34	166.2
Rimae Littrow	o	22.47	30.47	165.0
Struve	c	23.41	-76.65	164.3
Palus Somni	p	13.69	44.72	163.5
Hausen	c	-65.11	-88.49	163.2
Drygalski	c	-79.57	-87.18	162.5
Catena Humboldt	o	-21.98	84.70	162.3
Lagrange	c	-32.60	-71.45	162.2
Rimae Grimaldi	o	-6.18	-63.90	162.0
Montes Agricola	o	29.06	-54.07	159.8
Sinus Concordiae	p	10.98	42.47	159.0
Lacus Mortis	p	45.13	27.32	158.8
Rima Sheepshanks	o	58.28	23.69	157.5
Hedin	c	2.87	-76.57	157.4
Rima Suess	o	6.62	-47.14	156.4
Riccioli	c	-2.90	-74.42	155.7
Maginus	c	-50.03	-5.98	155.6
Vallis Alpes	o	49.21	3.63	155.4
J. Herschel	c	62.31	-41.86	154.4
Ptolemaeus	c	-9.16	-1.84	153.7
Lacus Timoris	p	-39.42	-27.95	153.6
Rimae Repsold	o	50.74	-80.46	152.1
Lyot	c	-50.47	84.80	150.6
Dorsum Heim	o	32.20	-29.83	146.8
Babbage	c	59.56	-57.38	146.6
Montes Archimedes	o	25.39	-5.25	146.5
Mare Anguis	p	22.43	67.58	146.0
Longomontanus	c	-49.55	-21.88	145.5
Vallis Inghirami	o	-43.95	-72.59	145.1
Rupes Liebig	o	-25.14	-45.92	144.8
Pythagoras	c	63.68	-62.98	144.6
Neper	c	8.76	84.58	144.3
